"date";"time";"tempC";"tempF";"windspeedMiles";"windspeedKmph";"winddirDegree";"winddir16Point";"weatherCode";"value";"value.1";"precipMM";"humidity";"visibility";"pressure";"cloudcover";"HeatIndexC";"HeatIndexF";"DewPointC";"DewPointF";"WindChillC";"WindChillF";"WindGustMiles";"WindGustKmph";"FeelsLikeC";"FeelsLikeF"
"2016-12-31";"2300";"0";"32";"6";"9";"260";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0008_clear_sky_night.png";"Clear";"0.0";"47";"10";"1027";"7";"0";"32";"-10";"14";"-3";"26";"12";"20";"-3";"26"
"2016-12-31";"2200";"0";"32";"6";"9";"257";"WSW";"116";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png";"Partly cloudy";"0.0";"48";"10";"1028";"11";"0";"32";"-10";"15";"-3";"26";"12";"20";"-3";"26"
"2016-12-31";"2100";"0";"32";"6";"10";"255";"WSW";"116";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png";"Partly cloudy";"0.0";"50";"10";"1028";"14";"0";"32";"-9";"16";"-3";"27";"13";"21";"-3";"27"
"2016-12-31";"2000";"1";"33";"6";"10";"255";"WSW";"116";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png";"Partly cloudy";"0.0";"51";"10";"1028";"19";"1";"33";"-8";"17";"-3";"28";"13";"21";"-3";"28"
"2016-12-31";"1900";"1";"34";"6";"10";"255";"WSW";"116";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png";"Partly cloudy";"0.0";"52";"10";"1029";"24";"1";"34";"-7";"19";"-2";"28";"13";"21";"-2";"28"
"2016-12-31";"1800";"2";"35";"6";"10";"255";"WSW";"116";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0004_black_low_cloud.png";"Partly cloudy";"0.0";"54";"10";"1029";"28";"2";"35";"-7";"20";"-2";"29";"13";"21";"-2";"29"
"2016-12-31";"1700";"2";"36";"6";"10";"256";"WSW";"116";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0002_sunny_intervals.png";"Partly cloudy";"0.0";"53";"10";"1029";"27";"2";"36";"-6";"20";"-1";"30";"13";"20";"-1";"30"
"2016-12-31";"1600";"2";"36";"6";"10";"258";"WSW";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"53";"10";"1030";"25";"2";"36";"-6";"21";"-1";"31";"12";"19";"-1";"31"
"2016-12-31";"1500";"3";"37";"6";"10";"259";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"53";"10";"1030";"24";"3";"37";"-6";"21";"0";"32";"12";"19";"0";"32"
"2016-12-31";"1400";"3";"37";"6";"10";"261";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"51";"10";"1030";"18";"3";"37";"-7";"20";"0";"31";"12";"19";"0";"31"
"2016-12-31";"1300";"2";"36";"6";"10";"262";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"49";"10";"1031";"12";"2";"36";"-7";"19";"-1";"31";"12";"19";"-1";"31"
"2016-12-31";"1200";"2";"36";"6";"10";"263";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"47";"10";"1031";"6";"2";"36";"-8";"18";"-1";"31";"12";"19";"-1";"31"
"2016-12-31";"1100";"2";"35";"6";"10";"263";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"49";"10";"1032";"4";"2";"35";"-8";"18";"-1";"30";"12";"19";"-1";"30"
"2016-12-31";"1000";"1";"34";"6";"10";"262";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"50";"10";"1032";"2";"1";"34";"-8";"18";"-2";"29";"12";"19";"-2";"29"
"2016-12-31";"900";"1";"33";"6";"10";"262";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"52";"10";"1033";"1";"1";"33";"-8";"17";"-2";"28";"12";"19";"-2";"28"
"2016-12-31";"800";"0";"32";"6";"10";"261";"W";"113";"http://cdn.worldweatheronline.net/images/wsymbols01_png_64/wsymbol_0001_sunny.png";"Sunny";"0.0";"54";"10";"1033";"1";"0";"32";"-8";"18";"-3";"27";"12";"19";"-3";"27"
